,Product-Name,Product-Price,product-Ratings
0,"SAMSUNG Galaxy F22 (Denim Blue, 128 GB)","₹13,499",4.3
1,"SAMSUNG Galaxy F22 (Denim Blue, 64 GB)","₹11,499",4.3
2,"SAMSUNG Galaxy F22 (Denim Black, 128 GB)","₹13,499",4.3
3,"SAMSUNG Galaxy F22 (Denim Black, 64 GB)","₹11,499",4.3
4,"SAMSUNG Galaxy F23 5G (Aqua Blue, 128 GB)","₹16,249",4.1
5,"SAMSUNG Galaxy F23 5G (Copper Blush, 128 GB)","₹16,249",4.1
6,"SAMSUNG Galaxy F23 5G (Forest Green, 128 GB)","₹16,249",4.1
7,"SAMSUNG Galaxy M12 (Blue, 64 GB)","₹10,285",4.2
8,"SAMSUNG Galaxy F12 (Sea Green, 64 GB)","₹10,499",4.3
9,"SAMSUNG Galaxy F12 (Celestial Black, 64 GB)","₹10,499",4.3
10,"SAMSUNG Galaxy F12 (Celestial Black, 128 GB)","₹11,499",4.3
11,SAMSUNG GT-E1215,"₹1,496",4.3
12,SAMSUNG Guru Music 2,"₹1,850",4.3
13,"SAMSUNG Galaxy F12 (Sky Blue, 64 GB)","₹10,499",4.3
14,SAMSUNG Guru Music 2 SM-B315E,"₹1,999",4.2
15,"SAMSUNG Galaxy F23 5G (Aqua Blue, 128 GB)","₹15,249",4
16,"SAMSUNG Galaxy M32 (Light Blue, 128 GB)","₹14,418",4.3
17,SAMSUNG Guru Music 2,"₹2,068",4.3
18,SAMSUNG Guru Music 2,"₹1,990",4.1
19,SAMSUNG GURU MUSIC 2,"₹1,982",4.2
20,"SAMSUNG Galaxy F23 5G (Copper Blush, 128 GB)","₹15,249",4
21,"SAMSUNG Galaxy M32 (Black, 128 GB)","₹14,283",4.3
22,SAMSUNG GURU GT,"₹1,499",4.1
23,SAMSUNG Guru Music 2,"₹1,998",4.3
